Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
_Colorado,P12,33,21,106.1108,91.721,0.842343,48.318,45.966,20.017,10.0,,19.4204,33.6103,30.4106,40.945,25.37,47.0192,44.770,34.4141,32.075,28.9282,36.5296,64.2194,+1.439
_Middle_Tennessee,SB,34,28,106.697,92.225,0.841544,51.171,44.422,20.7214,11.0,,23.619,36.537,29.062,41.439,42.8305,49.293,43.948,37.728,30.326,26.2316,31.7122,63.5225,+1.042
_Villanova,BE,33,19,106.4102,92.124,0.840345,47.3233,47.3114,22.9311,9.0,,22.058,33.1121,29.572,50.61,40.9279,46.0234,42.414,33.2203,37.3310,35.3108,35.9275,66.493,+0.3050
_UCLA,P12,35,25,111.237,96.367,0.838546,49.1135,47.5125,15.87,6.0,,19.9174,30.7204,34.0261,33.1250,24.64,48.9101,46.9142,33.3197,32.490,24.1330,30.891,68.333,+3.323
_Oklahoma,B12,32,20,111.835,97.279,0.833848,47.8211,47.412,17.539,10.0,,19.6191,33.2118,31.5155,35.4190,31.468,47.6172,46.4126,32.3240,32.9113,26.7306,34.3216,65.4139,+0.3848
_Mississippi,SEC,36,27,111.236,97.077,0.828351,49.1135,46.478,15.98,12.0,32.0,21.581,34.190,31.8164,38.893,31.164,49.487,46.2120,32.4237,31.352,33.0170,36.3291,69.516,+1.736
_Boise_St_,MWC,30,19,113.226,98.8112,0.827052,51.852,51.4277,18.484,13.0,,20.0169,30.3221,24.43,33.7235,42.2296,48.4131,51.0286,38.714,34.8220,35.1113,37.3311,64.9163,-0.1159
_Temple,A10,34,24,111.933,98.3105,0.816255,49.0141,49.0188,15.98,9.0,32.0,20.1164,30.8203,31.4148,35.6183,34.1127,48.8111,47.3163,32.8218,35.3241,37.359,29.560,65.5137,+1.637
_California,P12,33,21,106.51,93.937,0.810957,48.0199,44.321,18.9112,12.0,32.0,16.8317,32.5137,30.7117,31.2288,32.585,48.8111,41.76,30.2314,33.6159,23.6337,29.356,65.2147,+0.545
_Belmont,OVC,31,24,110.346,97.484,0.807558,56.52,48.0142,19.6151,11.0,,25.09,29.7237,34.2269,32.8258,37.0201,56.91,46.7137,37.236,33.5152,39.935,36.8303,66.0111,+0.3549
_Davidson,SC,33,25,112.132,99.5124,0.798361,53.126,45.341,17.023,14.0,,18.8235,29.0258,28.553,38.992,36.4181,52.025,44.357,36.657,32.179,38.549,26.216,63.9209,-1.268
_Bucknell,Pat,33,27,106.1107,94.443,0.793162,49.6112,42.54,15.12,11.0,,14.1347,29.3245,24.32,35.7182,29.442,48.3137,41.13,35.875,30.533,24.3328,30.891,62.1277,+1.241
_Valparaiso,Horz,33,25,109.953,99.7128,0.755375,55.75,46.273,21.8273,14.0,,19.5196,31.2188,28.244,41.735,36.8195,55.73,44.564,37.141,33.8165,40.031,26.216,64.3191,-0.663
_Akron,MAC,32,25,104.8124,95.756,0.739181,51.074,44.629,20.8224,12.0,,20.2153,37.622,30.5109,36.9142,35.0148,52.124,42.721,32.7223,32.8110,36.570,29.457,65.1150,+0.644
_New_Mexico_St_,WAC,34,23,103.9142,96.67,0.697694,49.3125,45.446,21.9275,13.0,,18.6246,36.931,29.884,47.03,30.758,49.877,43.229,31.8259,33.9170,23.8335,29.665,63.7216,-2.986
_Florida_Gulf_Coast,ASun,35,24,104.8125,97.586,0.696395,51.657,46.9101,21.0239,15.0,16.0,22.156,32.5137,32.8209,35.2201,32.787,52.319,46.9142,33.4191,31.352,34.4137,37.8313,67.851,-3.9103
_Iona,MAAC,34,20,114.117,106.2257,0.695096,52.147,51.6286,17.127,15.0,,19.3209,32.8128,33.4245,32.7260,32.279,50.455,49.1230,36.753,37.5315,36.667,34.9239,70.09,-5.7132
_South_Dakota_St_,Sum,32,22,111.138,105.0234,0.6591106,53.324,51.2269,16.412,13.0,,17.1310,28.9264,26.110,33.0252,24.43,50.455,49.8255,38.912,35.8262,36.377,35.1245,62.6266,-3.091
_Harvard,Ivy,29,19,106.794,101.3154,0.6455112,54.314,49.2196,20.8224,14.0,32.0,20.9115,25.6330,31.4148,49.62,31.265,51.535,48.9225,39.88,33.3139,33.9151,28.436,63.4233,-2.583
_Pacific,BW,33,20,106.1109,102.5178,0.5967133,50.589,50.0231,17.85,15.0,,20.0169,29.2250,30.8123,37.7115,39.3255,46.8201,48.0192,38.912,35.4243,32.3190,38.4321,62.0280,-5.0117
_Northwestern_St_,Slnd,28,19,106.2105,103.3196,0.5787137,49.0141,47.8134,19.213,14.0,,21.773,34.868,37.3336,40.362,40.5275,50.068,46.8140,31.0289,33.9170,29.8266,25.810,71.71,-3.089
_Albany,AE,35,24,102.6162,100.4141,0.5636145,49.6112,48.3157,21.2247,15.0,,19.9174,31.7166,28.244,40.067,27.823,46.7207,47.6175,37.048,33.1122,32.9174,34.6233,61.9281,-4.3110
_Western_Kentucky,SB,35,19,101.618,101.6162,0.4988166,48.6159,47.914,22.2288,16.0,,20.8125,34.868,30.7117,37.6119,37.8220,48.3137,47.6175,32.7223,32.490,36.279,31.3110,64.6182,-8.1189
_Montana,BSky,30,23,103.0152,103.1186,0.4988167,52.931,48.6165,19.1126,13.0,,18.3267,25.1332,30.5109,40.654,35.9170,52.025,48.0192,36.462,33.3139,36.279,30.275,62.6269,-1.267
_James_Madison,CAA,36,21,99.9212,100.8145,0.4752178,47.6219,48.7171,17.229,16.0,,21.1101,29.6238,31.1135,36.8146,39.2252,46.2227,46.9142,33.6178,34.7219,32.4185,34.1203,62.8256,-8.6193
_Southern,SWAC,30,20,96.9267,98.2103,0.4622182,49.1135,41.92,16.819,16.0,,20.2153,26.2319,31.1135,40.362,34.9143,46.0234,40.52,36.753,30.019,34.9121,30.379,63.6222,-5.5127
_LIU,NEC,34,20,109.658,112.533,0.4250195,54.412,52.6311,20.3192,16.0,,18.4260,35.259,33.5249,45.610,31.671,53.112,51.1287,38.023,37.2308,33.9151,30.995,67.946,+0.0052
_North_Carolina_A_T,MEAC,36,19,92.0319,97.076,0.3540225,45.7289,45.239,22.7305,16.0,,23.424,29.8234,33.2235,42.629,41.1281,45.4260,43.436,30.7301,32.075,37.063,38.1316,65.5133,-11.3222
_Liberty,BSth,33,12,101.6181,110.8314,0.2687262,48.5168,47.8134,19.8159,16.0,,15.1342,29.0258,32.6198,38.4100,38.5240,44.9276,48.6211,37.048,30.940,34.6134,33.1174,64.4190,-15.3302
