,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB
41,UC_San_Diego,BW,34,30,113.564,97.035,0.858945,55.431,47.742,13.46,12.0,23.32,25.6307,28.6111,33.4167,29.995,56.03,46.317,36.159,33.1125,49.68,44.4328,66.0267,0.947
42,Oklahoma,SEC,33,20,117.73,100.977,0.854946,54.938,51.1189,17.3185,9.0,18.2103,26.6273,31.8277,39.926,35.7251,54.161,55.0323,36.546,30.316,41.6115,42.0284,68.7111,2.237
43,Utah_St_,MWC,33,26,122.613,105.2148,0.853047,56.019,51.8232,16.095,10.0,20.139,34.737,30.321,37.058,35.6248,57.51,52.7257,34.9117,34.0187,42.692,44.4328,67.717,2.236
44,Texas,SEC,34,19,116.74,100.269,0.852249,52.595,48.463,14.318,11.0,16.4221,29.719,29.4154,36.863,38.9312,51.7146,47.853,36.256,33.8175,35.3272,36.495,67.6182,0.2551
45,San_Diego_St_,MWC,30,21,108.9121,94.314,0.839153,50.6184,45.36,16.8155,11.0,19.559,29.2204,31.0242,32.3194,37.4294,51.515,45.18,32.6233,31.24,39.6164,47.1354,66.1258,1.045
46,Liberty,CUSA,34,28,112.868,98.242,0.831056,58.42,45.99,15.348,12.0,17.0182,19.0361,28.191,30.3265,26.028,57.51,48.374,38.76,28.73,48.216,34.54,65.7283,-0.2155
47,Drake,MVC,33,30,112.573,98.544,0.822958,53.857,51.7227,18.6277,11.0,21.812,35.328,25.719,42.712,36.7276,54.161,54.4306,35.673,31.24,36.2254,38.617,59.1364,2.734
48,Memphis,Amer,34,29,111.788,98.748,0.80576,53.663,48.568,19.2304,5.0,18.975,35.328,32.3302,39.33,33.9206,52.0139,48.684,37.622,32.489,33.3316,41.0258,70.931,5.019
49,McNeese_St_,Slnd,33,27,113.465,100.774,0.796064,53.373,47.537,16.2108,12.0,21.714,34.543,31.7273,35.3109,31.9152,53.199,46.932,35.298,32.489,36.6241,46.9352,65.8281,-0.659
50,Yale,Ivy,29,22,113.961,103.7118,0.745779,54.84,48.882,14.419,13.0,16.125,32.789,25.924,31.8204,28.975,53.389,48.268,38.41,33.4149,32.2333,47.8358,67.7173,-2.673
51,Grand_Canyon,WAC,33,26,108.5127,99.56,0.731083,51.2147,47.025,18.4264,13.0,20.332,32.41,28.913,43.68,32.4163,52.6113,46.726,31.3298,32.383,33.8307,34.13,71.518,-2.672
