Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result
2011_Arizona,P10,38,30,118.78,98.067,0.90042,54.112,48.6136,18.891,5.0,8.0
2011_Kansas_St_,B12,33,22,112.641,93.12,0.898721,49.6141,47.383,21.3246,5.0,32.0
2011_Utah_St_,WAC,33,29,110.659,91.912,0.894222,52.243,43.45,18.475,12.0,
2011_Clemson,ACC,34,22,110.561,91.81,0.893523,50.3105,45.625,20.1172,12.0,
2011_Cincinnati,BE,35,26,111.453,92.617,0.893224,49.4155,45.831,17.95,6.0,32.0
2011_UNLV,MWC,33,24,110.757,92.918,0.882225,50.979,46.035,18.681,8.0,
2011_Michigan,B10,34,20,112.837,94.833,0.880726,52.341,48.9154,16.211,8.0,32.0
2011_Gonzaga,WCC,34,24,111.749,94.428,0.873828,52.537,47.28,19.8152,11.0,32.0
2011_St__John_s,BE,33,21,112.246,94.935,0.872129,49.5147,50.8249,18.578,6.0,
2011_Florida_St_,ACC,34,23,103.7157,88.01,0.868831,49.0175,42.41,22.9312,10.0,16.0
2011_Vanderbilt,SEC,34,23,117.014,99.393,0.868332,52.928,46.035,19.0106,5.0,
2011_Marquette,BE,37,22,115.223,97.864,0.867733,51.076,49.9213,18.054,11.0,16.0
2011_Belmont,ASun,35,30,111.651,94.934,0.866534,54.21,46.14,19.7143,13.0,
2011_Villanova,BE,33,21,114.826,97.863,0.863935,49.5147,46.345,18.054,9.0,
2011_Butler,Horz,37,27,112.245,96.046,0.857836,49.8129,48.1118,16.92,8.0,2.0
2011_Georgetown,BE,32,21,113.234,97.054,0.855137,54.112,46.867,20.8221,6.0,
2011_Temple,A10,34,26,110.263,94.63,0.853438,50.012,46.345,16.312,7.0,32.0
2011_George_Mason,CAA,34,27,112.542,97.156,0.845039,53.222,46.658,17.023,8.0,32.0
2011_Missouri,B12,33,22,113.73,98.377,0.842441,51.564,49.3181,17.023,11.0,
2011_Georgia,SEC,33,21,110.065,95.137,0.841943,49.5147,44.817,20.4196,10.0,
2011_UCLA,P10,34,23,109.273,94.629,0.839844,50.2108,46.345,21.927,7.0,32.0
2011_Penn_St_,B10,34,19,113.135,98.066,0.839545,50.1115,50.7245,17.641,10.0,
2011_USC,P10,34,19,107.987,93.624,0.836047,49.9121,46.243,17.846,11.0,
2011_Xavier,A10,32,24,112.047,97.358,0.834548,51.271,46.555,18.263,6.0,
2011_Richmond,A10,37,29,112.344,97.662,0.833549,53.124,45.118,16.312,12.0,16.0
2011_Tennessee,SEC,34,19,109.371,95.341,0.828651,47.6234,47.9114,19.8152,9.0,
2011_Michigan_St_,B10,33,18,109.274,95.239,0.828252,48.6189,47.8107,20.1172,10.0,
2011_Old_Dominion,CAA,34,27,109.966,96.45,0.820154,48.5194,47.383,20.6207,9.0,
2011_Texas_A_M,B12,32,23,108.877,96.047,0.808958,49.316,46.658,20.3188,7.0,32.0
